geo,Name,TIME_PERIOD,GHGperGDP,PriceAdjOil,GDPperCap,OilCperGDP,GDPgrowth,OilDep,SRE,PosSupplyShock,NegSupplyShock,GHG,GDP,Pop,OilCons
DK,Denmark,1997,3271.7501436133043,28.56,45570.002219339265,668.5006512027793,3.26089015774814,-10.224,8.1,0,0,787960000,240837.461729208,5285000,161000000
DK,Denmark,1998,2753.5179513056178,19.2,46422.70770151575,524.0076353796134,2.2181587422377804,-6.153,8.5,1,1,677860000,246179.618941138,5303000,129000000
DK,Denmark,1999,2361.25697942816,27.19,47629.59005121199,453.76159723649954,2.948022160638839,-48.727,9.1,0,1,598430000,253437.048662499,5321000,115000000
DK,Denmark,2000,2296.1744272226365,44.3,49256.83526446703,616.1265730447992,3.746862595402024,-84.105,10.7,1,1,603740000,262932.986641725,5338000,162000000
DK,Denmark,2001,2409.7187484141973,37.6,49486.154079528664,633.729512270605,0.8231529980143467,-71.347,11.1,0,1,638810000,265097.327404035,5357000,168000000
DK,Denmark,2002,2608.382899090987,38.46,49541.21968945926,705.8816539932425,0.4663455714941131,-99.284,11.9,0,1,694700000,266333.597050533,5376000,188000000
DK,Denmark,2003,2572.9277254227354,40.55,49605.279041674214,695.6587980297833,0.3900585564854152,-99.795,12.7,1,1,687930000,267372.454034624,5390000,186000000
DK,Denmark,2004,2237.0323340411555,48.64,50806.318224864335,597.4356806649777,2.668219267417192,-116.42,14.4,1,1,614080000,274506.537368942,5403000,164000000
DK,Denmark,2005,2499.3879901195814,65.99,51839.9650331921,676.3472834414147,2.3366413082196007,-104.447,16.1,1,0,702130000,280920.77051486797,5419000,190000000
DK,Denmark,2006,2239.364130214204,77.06,53690.12740074416,589.2162006988575,3.9130079783104823,-86.46,15.3,0,0,653700000,291913.22267784603,5437000,172000000
DK,Denmark,2007,2007.7237917089892,80.23,53950.075336134614,509.2212995322169,0.9092389283023762,-66.199,17.7,0,1,591410000,294567.411335295,5460000,150000000
DK,Denmark,2008,2476.5305347726485,99.98,53351.388469759695,655.1577809448565,-0.5120167448490128,-49.435,18.5,1,0,725770000,293059.17686439,5493000,192000000
DK,Denmark,2009,2438.710292213632,66,50458.10039388285,638.7252170536866,-4.906547729651488,-57.326,19.3,0,1,679620000,278680.08847541496,5523000,178000000
DK,Denmark,2010,2138.5786249913,80.97,51179.767128133586,542.4556655883587,1.8709911471849097,-45.023,21.2,0,0,607130000,283894.16825975705,5547000,154000000
DK,Denmark,2011,2052.2494244147333,104.36,51649.76703457595,521.3960022056029,1.336777766903116,-48.995,23.8,0,0,590410000,287689.202382588,5570000,150000000
